source,concept,synonym,year,docs
all,Airgap,low k dielectric,2026,14
all,Airgap,ultra low k,2026,4
all,Airgap,porous low k,2026,1
all,Airgap,ULK dielectric,2026,1
all,BSPDN,buried power rail,2016,1
all,BSPDN,backside contact,2017,2
all,BSPDN,BPR,2018,3
all,BSPDN,BPR,2019,6
all,BSPDN,buried power rail,2019,3
all,BSPDN,back side power,2019,2
all,BSPDN,backside contact,2019,2
all,BSPDN,backside power,2019,1
all,BSPDN,BPR,2020,14
all,BSPDN,buried power rail,2020,7
all,BSPDN,backside power,2020,2
all,BSPDN,backside contact,2020,2
all,BSPDN,BSPDN,2020,1
all,BSPDN,BPR,2021,5
all,BSPDN,buried power rail,2021,3
all,BSPDN,backside power,2021,2
all,BSPDN,backside contact,2021,2
all,BSPDN,BSPDN,2021,1
all,BSPDN,BS-PDN,2021,1
all,BSPDN,BPR,2022,14
all,BSPDN,buried power rail,2022,13
all,BSPDN,backside power,2022,8
all,BSPDN,BSPDN,2022,5
all,BSPDN,back side power,2022,3
all,BSPDN,backside contact,2022,2
all,BSPDN,BS-PDN,2022,2
all,BSPDN,backside power,2023,17
all,BSPDN,buried power rail,2023,12
all,BSPDN,BPR,2023,10
all,BSPDN,back side power,2023,9
all,BSPDN,BS-PDN,2023,9
all,BSPDN,BSPDN,2023,4
all,BSPDN,PowerVia,2023,2
all,BSPDN,backside contact,2023,2
all,BSPDN,backside power,2024,26
all,BSPDN,BSPDN,2024,22
all,BSPDN,BPR,2024,13
all,BSPDN,back side power,2024,13
all,BSPDN,buried power rail,2024,10
all,BSPDN,BS-PDN,2024,8
all,BSPDN,backside contact,2024,7
all,BSPDN,PowerVia,2024,3
all,BSPDN,backside power,2025,46
all,BSPDN,BSPDN,2025,23
all,BSPDN,backside contact,2025,12
all,BSPDN,buried power rail,2025,10
all,BSPDN,BPR,2025,8
all,BSPDN,back side power,2025,6
all,BSPDN,PowerVia,2025,5
all,BSPDN,BS-PDN,2025,4
all,BSPDN,backside power,2026,37
all,BSPDN,BSPDN,2026,16
all,BSPDN,buried power rail,2026,11
all,BSPDN,BPR,2026,9
all,BSPDN,backside contact,2026,8
all,BSPDN,PowerVia,2026,5
all,BSPDN,BS-PDN,2026,4
all,BSPDN,back side power,2026,3
all,CFET,stacked CMOS,2014,9
all,CFET,complementary field effect transistor,2014,2
all,CFET,stacked CMOS,2015,11
all,CFET,complementary field effect transistor,2015,3
all,CFET,stacked CMOS,2016,14
all,CFET,stacked CMOS,2017,13
all,CFET,complementary field effect transistor,2017,2
all,CFET,stacked CMOS,2018,15
all,CFET,complementary field effect transistor,2018,2
all,CFET,complementary FET,2018,1
all,CFET,CFET,2018,1
all,CFET,stacked CMOS,2019,14
all,CFET,CFET,2019,12
all,CFET,complementary field effect transistor,2019,6
all,CFET,complementary FET,2019,5
all,CFET,CFET,2020,13
all,CFET,stacked CMOS,2020,12
all,CFET,complementary FET,2020,7
all,CFET,complementary field effect transistor,2020,6
all,CFET,3D stacked transistor,2020,1
all,CFET,CFET,2021,19
all,CFET,stacked CMOS,2021,13
all,CFET,complementary FET,2021,12
all,CFET,complementary field effect transistor,2021,8
all,CFET,CFET,2022,44
all,CFET,complementary FET,2022,24
all,CFET,complementary field effect transistor,2022,18
all,CFET,stacked CMOS,2022,12
all,CFET,CFET,2023,61
all,CFET,complementary FET,2023,25
all,CFET,complementary field effect transistor,2023,23
all,CFET,stacked CMOS,2023,16
all,CFET,3D stacked transistor,2023,1
all,CFET,CFET,2024,83
all,CFET,complementary field effect transistor,2024,40
all,CFET,complementary FET,2024,39
all,CFET,stacked CMOS,2024,18
all,CFET,CFET,2025,127
all,CFET,complementary field effect transistor,2025,58
all,CFET,complementary FET,2025,56
all,CFET,stacked CMOS,2025,7
all,CFET,3D stacked transistor,2025,1
all,CFET,CFET,2026,87
all,CFET,complementary FET,2026,40
all,CFET,complementary field effect transistor,2026,40
all,CFET,stacked CMOS,2026,11
all,CFET,3D stacked transistor,2026,1
all,CIM,memristor crossbar,2014,16
all,CIM,in memory computing,2014,7
all,CIM,processing in memory,2014,5
all,CIM,PNM,2014,2
all,CIM,PIM,2014,1
all,CIM,memristor crossbar,2015,27
all,CIM,in memory computing,2015,20
all,CIM,processing in memory,2015,10
all,CIM,near memory processing,2015,1
all,CIM,PIM,2015,1
all,CIM,PNM,2015,1
all,CIM,in memory computation,2015,1
all,CIM,memristor crossbar,2016,28
all,CIM,in memory computing,2016,26
all,CIM,processing in memory,2016,22
all,CIM,PIM,2016,9
all,CIM,near memory processing,2016,1
all,CIM,PNM,2016,1
all,CIM,in memory computing,2017,57
all,CIM,processing in memory,2017,32
all,CIM,memristor crossbar,2017,29
all,CIM,PIM,2017,7
all,CIM,in memory computation,2017,5
all,CIM,near memory processing,2017,2
